Question,A,B,D,Correct
6275+700x5,9775,6770,9720,A
Yig'indini toping: 3705+32492,31109,36197,31299,B
Ayirmani toping: 22786-11297,11489,15889,14799,A
Tenglamani yeching: X x 30 =2700,70,90,80,B
6 dm =  ? cm,60 cm,18 cm,88 cm,A
Kompyuter ekranining uzunligi 18 sm; Kengligi uzunligidan 5smga ko'p; Kompyuter ekraning perimetrini toping;80 cm,33 cm,82 cm,D
Hisoblang: 578 kg + 329 kg,907 kg,900 kg,800 kg,A
7ta qalam 210 so'm; 5ta varoq 10 s'om; Qalam varoqdan necha so'mga qimmat,3,28,32,B
Tenglamani yeching X +3245 = 64000 : 8,3000,3623,4755,B
Ko'paytmani toping 27 x 12,324,201,245,A
